Infotrol,
16:22:10,viernes, 22 de enero de 2021,

,,,%Anode d1-5%,,,

,VP,VP,VP,                    ,VP,VP
,00108 RSSI          ,00108 Inc_m         ,00108 Inc_max       ,                    ,00108 Num_Pkt       ,00108 Ianode        
22/01 14:20:16,-22,0,0,                    ,69,-25.41
22/01 14:20:17,-22,0,0,                    ,69,-25.41
22/01 14:20:18,-22,0,0,                    ,70,-26.62
22/01 14:20:19,-22,0,0,                    ,70,-26.62
22/01 14:20:20,-22,0,0,                    ,70,-26.62
22/01 14:20:21,-22,0,0,                    ,70,-26.62
22/01 14:20:22,-22,0,0,                    ,70,-26.62
22/01 14:20:23,-24,0,0,                    ,72,-26.62
22/01 14:20:24,-24,0,0,                    ,72,-29.04
22/01 14:20:25,-22,0,0,                    ,73,-29.04
22/01 14:20:26,-22,0,0,                    ,73,-29.04
22/01 14:20:27,-22,0,0,                    ,73,-26.62
22/01 14:20:28,-22,0,0,                    ,73,-26.62
22/01 14:20:29,-22,0,0,                    ,75,-26.62
22/01 14:20:30,-22,0,0,                    ,75,-26.62
22/01 14:20:31,-22,0,0,                    ,75,-26.62
22/01 14:20:32,-22,0,0,                    ,75,-26.62
22/01 14:20:33,-22,0,0,                    ,75,-26.62
22/01 14:20:34,-22,0,0,                    ,77,-26.62
22/01 14:20:35,-22,0,0,                    ,77,-26.62
22/01 14:20:36,-22,0,0,                    ,77,-26.62
22/01 14:20:37,-22,0,0,                    ,77,-26.62
22/01 14:20:38,-22,0,0,                    ,78,-26.62
22/01 14:20:39,-22,0,0,                    ,78,-26.62
22/01 14:20:40,-22,0,0,                    ,78,-26.62
22/01 14:20:41,-22,0,0,                    ,78,-26.62
22/01 14:20:42,-22,0,0,                    ,78,-26.62
22/01 14:20:43,-20,0,0,                    ,80,-26.62
22/01 14:20:44,-20,0,0,                    ,80,-24.2
22/01 14:20:45,-20,0,0,                    ,80,-24.2
22/01 14:20:46,-20,0,0,                    ,80,-24.2
22/01 14:20:47,-22,0,0,                    ,82,-24.2
22/01 14:20:48,-22,0,0,                    ,82,-24.2
22/01 14:20:49,-22,0,0,                    ,83,-26.62
22/01 14:20:50,-22,0,0,                    ,83,-26.62
22/01 14:20:51,-22,0,0,                    ,83,-26.62
22/01 14:20:52,-22,0,0,                    ,83,-26.62
22/01 14:20:53,-22,0,0,                    ,83,-26.62
22/01 14:20:54,-22,0,0,                    ,83,-26.62
22/01 14:20:56,-22,0,0,                    ,83,-26.62
22/01 14:20:57,-16,0,0,                    ,85,-26.62
22/01 14:20:58,-16,0,0,                    ,85,-26.62
22/01 14:20:59,-16,0,0,                    ,85,-19.36
22/01 14:21:00,-16,0,0,                    ,85,-19.36
22/01 14:21:01,-16,0,0,                    ,85,-19.36
22/01 14:21:02,-16,0,0,                    ,87,-19.36
22/01 14:21:03,-16,0,0,                    ,87,-19.36
22/01 14:21:04,-16,0,0,                    ,88,-19.36
22/01 14:21:05,-16,0,0,                    ,88,-19.36
22/01 14:21:06,-16,0,0,                    ,88,-19.36
22/01 14:21:07,-16,0,0,                    ,88,-19.36
22/01 14:21:08,-16,0,0,                    ,90,-19.36
22/01 14:21:09,-16,0,0,                    ,90,-19.36
22/01 14:21:10,-16,0,0,                    ,90,-19.36
22/01 14:21:11,-16,0,0,                    ,90,-19.36
22/01 14:21:12,-16,0,0,                    ,90,-19.36
22/01 14:21:13,-16,0,0,                    ,90,-19.36
22/01 14:21:14,-16,0,0,                    ,90,-19.36
22/01 14:21:15,-16,0,0,                    ,93,-19.36
22/01 14:21:16,-16,0,0,                    ,93,-19.36
22/01 14:21:17,-16,0,0,                    ,93,-19.36
22/01 14:21:18,-16,0,0,                    ,93,-19.36
22/01 14:21:19,-16,0,0,                    ,93,-19.36
22/01 14:21:20,-16,0,0,                    ,93,-19.36
